Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -3.56000      1.25930      0.55802      0.70128
     -3.55000      1.14905      0.53666      0.61239
     -3.54000      1.11374      0.50353      0.61021
     -3.53000      1.09917      0.46917      0.63000
     -3.52000      1.25684      0.50373      0.75311
     -3.51000      1.50341      0.57367      0.92974
     -3.50000      1.20009      0.43838      0.76170
     -3.49000      0.95548      0.35450      0.60098
     -3.48000      1.19273      0.49108      0.70165
     -3.47000      1.43773      0.61811      0.81962
     -3.46000      1.64040      0.66295      0.97745
     -3.45000      1.63227      0.60235      1.02992
     -3.44000      1.27252      0.46773      0.80479
     -3.43000      0.86862      0.35669      0.51193
     -3.42000      0.95225      0.39987      0.55238
     -3.41000      1.92269      0.77900      1.14369
     -3.40000      2.97867      1.16575      1.81292
     -3.39000      3.21680      1.22012      1.99668
     -3.38000      3.07661      1.19200      1.88461
     -3.37000      2.89511      1.12590      1.76921
     -3.36000      2.81424      1.02130      1.79294
     -3.35000      3.45361      1.19302      2.26059
     -3.34000      4.15429      1.46103      2.69326
     -3.33000      3.86258      1.39079      2.47179
     -3.32000      3.09820      1.11873      1.97947
     -3.31000      2.80899      1.03240      1.77659
     -3.30000      3.35974      1.27319      2.08655
     -3.29000      4.02728      1.50999      2.51730
     -3.28000      4.05112      1.49025      2.56086
     -3.27000      3.25965      1.19126      2.06839
     -3.26000      2.84566      1.06191      1.78375
     -3.25000      3.35439      1.24328      2.11110
     -3.24000      3.76938      1.35339      2.41598
     -3.23000      4.01823      1.44682      2.57141
     -3.22000      5.29176      1.93234      3.35942
     -3.21000      7.60678      2.75561      4.85116
     -3.20000      8.03263      3.00806      5.02457
     -3.19000      6.69216      2.69374      3.99841
     -3.18000      5.82485      2.38761      3.43723
     -3.17000      5.40770      2.12087      3.28684
     -3.16000      5.21936      2.00554      3.21383
     -3.15000      5.06875      1.99682      3.07193
     -3.14000      4.99782      2.06539      2.93243
     -3.13000      5.30026      2.24742      3.05285
     -3.12000      5.30045      2.21332      3.08713
     -3.11000      4.56615      1.89904      2.66711
     -3.10000      3.96854      1.64869      2.31986
     -3.09000      3.95134      1.56509      2.38625
     -3.08000      4.14690      1.57681      2.57009
     -3.07000      3.67168      1.39274      2.27894
     -3.06000      3.00042      1.16240      1.83802
     -3.05000      3.06196      1.18505      1.87690
     -3.04000      3.39054      1.27224      2.11830
     -3.03000      3.20917      1.21264      1.99653
     -3.02000      2.64469      1.07144      1.57325
     -3.01000      2.57385      1.09414      1.47972
     -3.00000      2.81241      1.19200      1.62041
     -2.99000      2.87644      1.21104      1.66540
     -2.98000      3.06669      1.24807      1.81862
     -2.97000      3.05706      1.21984      1.83723
     -2.96000      2.27734      0.91287      1.36448
     -2.95000      1.26485      0.52366      0.74119
     -2.94000      0.88845      0.38514      0.50331
     -2.93000      1.34356      0.57743      0.76613
     -2.92000      2.03644      0.88726      1.14919
     -2.91000      2.45136      1.06564      1.38571
     -2.90000      2.07721      0.86614      1.21107
     -2.89000      1.38785      0.60970      0.77815
     -2.88000      1.18883      0.58913      0.59970
     -2.87000      1.68730      0.81651      0.87080
     -2.86000      2.26135      1.02773      1.23363
     -2.85000      1.96678      0.89342      1.07335
     -2.84000      1.45729      0.70521      0.75209
     -2.83000      1.30005      0.65212      0.64793
     -2.82000      1.29594      0.61410      0.68184
     -2.81000      1.29231      0.56089      0.73142
     -2.80000      1.24972      0.54304      0.70667
     -2.79000      1.21126      0.58000      0.63126
     -2.78000      1.51438      0.75864      0.75574
     -2.77000      1.74963      0.78721      0.96242
     -2.76000      2.22722      0.82051      1.40671
     -2.75000      2.74285      0.99427      1.74858
     -2.74000      2.36157      0.92575      1.43582
     -2.73000      1.78920      0.74131      1.04789
     -2.72000      1.52180      0.62900      0.89281
     -2.71000      1.56091      0.67957      0.88134
     -2.70000      1.71185      0.80334      0.90851
     -2.69000      1.32805      0.66932      0.65873
     -2.68000      1.06478      0.53482      0.52996
     -2.67000      0.98713      0.42868      0.55846
     -2.66000      0.88452      0.36937      0.51515
     -2.65000      1.11616      0.52985      0.58630
     -2.64000      1.70900      0.84526      0.86374
     -2.63000      1.62656      0.79193      0.83463
     -2.62000      1.19745      0.52608      0.67137
     -2.61000      1.27706      0.52567      0.75139
     -2.60000      1.34063      0.56289      0.77773
     -2.59000      1.62115      0.66575      0.95540
     -2.58000      1.86675      0.74728      1.11946
     -2.57000      1.37837      0.55827      0.82010
     -2.56000      0.98013      0.43507      0.54506
     -2.55000      1.20052      0.54178      0.65874
     -2.54000      1.49012      0.64734      0.84278
     -2.53000      1.42174      0.63266      0.78909
     -2.52000      1.23206      0.60267      0.62939
     -2.51000      1.16708      0.62665      0.54043
     -2.50000      1.35055      0.73598      0.61457
     -2.49000      1.65818      0.87397      0.78421
     -2.48000      1.48113      0.74499      0.73614
     -2.47000      1.30675      0.63073      0.67602
     -2.46000      1.41761      0.67901      0.73860
     -2.45000      1.53251      0.75916      0.77335
     -2.44000      1.38935      0.71524      0.67411
     -2.43000      1.11449      0.54734      0.56715
     -2.42000      1.69166      0.68273      1.00894
     -2.41000      2.97143      1.08581      1.88561
     -2.40000      2.94807      1.08091      1.86717
     -2.39000      1.80090      0.72817      1.07273
     -2.38000      1.53815      0.70390      0.83425
     -2.37000      1.88683      0.89707      0.98976
     -2.36000      1.86289      0.90389      0.95900
     -2.35000      1.61899      0.81552      0.80347
     -2.34000      1.62977      0.82945      0.80032
     -2.33000      1.77539      0.88946      0.88593
     -2.32000      1.34109      0.63790      0.70319
     -2.31000      0.75812      0.35030      0.40783
     -2.30000      0.70191      0.37447      0.32744
     -2.29000      0.97535      0.54328      0.43207
     -2.28000      1.48165      0.75361      0.72805
     -2.27000      1.86263      0.85383      1.00880
     -2.26000      1.98262      0.83579      1.14683
     -2.25000      2.31411      0.94837      1.36574
     -2.24000      2.97790      1.18977      1.78813
     -2.23000      2.96790      1.12124      1.84666
     -2.22000      2.24967      0.87678      1.37289
     -2.21000      1.39026      0.60732      0.78293
     -2.20000      0.96192      0.43026      0.53165
     -2.19000      1.83202      0.78579      1.04624
     -2.18000      2.88135      1.25425      1.62710
     -2.17000      2.65658      1.16894      1.48764
     -2.16000      2.21357      0.95366      1.25991
     -2.15000      1.80885      0.75387      1.05498
     -2.14000      1.66807      0.69654      0.97153
     -2.13000      1.67274      0.70952      0.96322
     -2.12000      1.36156      0.54226      0.81929
     -2.11000      1.27004      0.49341      0.77663
     -2.10000      1.93214      0.76321      1.16893
     -2.09000      3.06650      1.17435      1.89214
     -2.08000      4.00917      1.48992      2.51926
     -2.07000      4.44782      1.56264      2.88518
     -2.06000      4.01448      1.27592      2.73856
     -2.05000      3.23364      0.98251      2.25113
     -2.04000      2.28178      0.76276      1.51902
     -2.03000      2.12416      0.84245      1.28171
     -2.02000      3.00023      1.13495      1.86529
     -2.01000      4.47945      1.40597      3.07348
     -2.00000      5.87241      1.64288      4.22953
     -1.99000      6.44979      1.78281      4.66698
     -1.98000      6.05858      1.64996      4.40862
     -1.97000      5.58312      1.42923      4.15389
     -1.96000      5.75716      1.49074      4.26642
     -1.95000      5.84510      1.60414      4.24096
     -1.94000      5.24495      1.45133      3.79363
     -1.93000      3.89854      1.10955      2.78899
     -1.92000      3.78049      1.13914      2.64135
     -1.91000      4.71598      1.38689      3.32910
     -1.90000      4.44550      1.33707      3.10842
     -1.89000      3.95768      1.30163      2.65605
     -1.88000      4.54654      1.52999      3.01656
     -1.87000      4.52385      1.42358      3.10027
     -1.86000      3.42405      1.07874      2.34531
     -1.85000      2.99588      1.03767      1.95820
     -1.84000      3.70774      1.20802      2.49972
     -1.83000      4.89584      1.50886      3.38698
     -1.82000      5.82440      1.95731      3.86709
     -1.81000      5.50834      1.95795      3.55039
     -1.80000      4.61918      1.58661      3.03257
     -1.79000      3.55922      1.16838      2.39084
     -1.78000      2.77810      0.86949      1.90861
     -1.77000      2.56427      0.76768      1.79659
     -1.76000      2.12958      0.61234      1.51725
     -1.75000      2.12727      0.61197      1.51530
     -1.74000      3.27195      0.93950      2.33245
     -1.73000      4.28244      1.22190      3.06054
     -1.72000      4.34230      1.20612      3.13618
     -1.71000      3.84197      1.03133      2.81064
     -1.70000      2.64211      0.71868      1.92343
     -1.69000      1.86553      0.55188      1.31365
     -1.68000      2.40719      0.73991      1.66728
     -1.67000      3.18628      1.05368      2.13260
     -1.66000      3.48405      1.19963      2.28443
     -1.65000      2.72477      0.86423      1.86054
     -1.64000      1.90829      0.54169      1.36659
     -1.63000      2.14438      0.58742      1.55695
     -1.62000      2.37393      0.61856      1.75537
     -1.61000      2.28099      0.61935      1.66164
     -1.60000      2.62824      0.76015      1.86809
     -1.59000      2.98014      0.82978      2.15036
     -1.58000      3.16830      0.81537      2.35293
     -1.57000      2.59804      0.65337      1.94467
     -1.56000      2.13595      0.57774      1.55821
     -1.55000      2.43514      0.76630      1.66884
     -1.54000      2.57417      0.93007      1.64410
     -1.53000      2.32399      0.79250      1.53149
     -1.52000      2.20594      0.57474      1.63120
     -1.51000      2.29509      0.50920      1.78590
     -1.50000      2.46691      0.57112      1.89580
     -1.49000      2.08651      0.52149      1.56502
     -1.48000      1.72967      0.45137      1.27831
     -1.47000      2.06604      0.60166      1.46438
     -1.46000      2.34439      0.72168      1.62272
     -1.45000      2.41285      0.66080      1.75205
     -1.44000      2.48238      0.54716      1.93522
     -1.43000      2.65671      0.53610      2.12061
     -1.42000      2.45959      0.57777      1.88182
     -1.41000      2.14934      0.62786      1.52148
     -1.40000      2.31831      0.71530      1.60301
     -1.39000      2.36103      0.67283      1.68821
     -1.38000      2.08427      0.49133      1.59294
     -1.37000      2.06068      0.39933      1.66136
     -1.36000      1.93275      0.31149      1.62126
     -1.35000      1.55973      0.22140      1.33833
     -1.34000      1.28425      0.25066      1.03358
     -1.33000      1.60804      0.41053      1.19751
     -1.32000      1.97017      0.50474      1.46543
     -1.31000      1.98435      0.47548      1.50887
     -1.30000      2.22321      0.48155      1.74166
     -1.29000      2.46984      0.45090      2.01893
     -1.28000      2.25538      0.37728      1.87810
     -1.27000      1.87283      0.41202      1.46081
     -1.26000      1.80330      0.49359      1.30971
     -1.25000      1.76430      0.41000      1.35430
     -1.24000      1.70603      0.25928      1.44676
     -1.23000      1.84996      0.26448      1.58548
     -1.22000      2.36305      0.46298      1.90007
     -1.21000      2.40306      0.57535      1.82771
     -1.20000      1.93812      0.45155      1.48657
     -1.19000      1.70225      0.32256      1.37969
     -1.18000      1.65819      0.27026      1.38793
     -1.17000      2.01494      0.31223      1.70270
     -1.16000      2.75040      0.46389      2.28651
     -1.15000      2.80180      0.48959      2.31221
     -1.14000      2.44494      0.44677      1.99817
     -1.13000      2.71481      0.54994      2.16487
     -1.12000      3.35160      0.66072      2.69088
     -1.11000      3.05758      0.55969      2.49789
     -1.10000      2.71012      0.44588      2.26424
     -1.09000      2.76670      0.40276      2.36393
     -1.08000      2.54626      0.35609      2.19017
     -1.07000      2.23553      0.34220      1.89333
     -1.06000      2.56562      0.42999      2.13563
     -1.05000      2.97453      0.47350      2.50104
     -1.04000      2.68559      0.43801      2.24758
     -1.03000      2.30856      0.47900      1.82956
     -1.02000      2.55584      0.70466      1.85118
     -1.01000      2.98339      0.96562      2.01777
     -1.00000      3.09035      1.03029      2.06006
     -0.99000      3.30094      1.04673      2.25421
     -0.98000      3.01605      0.88980      2.12625
     -0.97000      2.26764      0.67028      1.59737
     -0.96000      2.25021      0.83978      1.41042
     -0.95000      2.23277      1.05383      1.17894
     -0.94000      1.82469      0.98261      0.84208
     -0.93000      1.87261      1.02749      0.84511
     -0.92000      2.22596      1.19923      1.02673
     -0.91000      2.15259      1.15744      0.99515
     -0.90000      1.89141      1.09949      0.79192
     -0.89000      2.02744      1.29015      0.73728
     -0.88000      2.07727      1.32475      0.75252
     -0.87000      2.04398      1.31236      0.73162
     -0.86000      2.34494      1.57543      0.76951
     -0.85000      2.86693      1.95995      0.90698
     -0.84000      3.28458      2.27843      1.00615
     -0.83000      3.84726      2.71373      1.13353
     -0.82000      4.42155      3.11619      1.30536
     -0.81000      4.19103      2.90634      1.28469
     -0.80000      3.71375      2.52709      1.18666
     -0.79000      3.53549      2.40859      1.12690
     -0.78000      3.56094      2.45449      1.10645
     -0.77000      3.27959      2.25490      1.02468
     -0.76000      2.85228      1.92092      0.93136
     -0.75000      2.36555      1.55533      0.81022
     -0.74000      2.06055      1.37124      0.68931
     -0.73000      2.51489      1.70571      0.80917
     -0.72000      3.23967      2.16268      1.07699
     -0.71000      3.39226      2.21969      1.17257
     -0.70000      2.85551      1.87056      0.98495
     -0.69000      2.43644      1.62499      0.81145
     -0.68000      2.31923      1.53106      0.78817
     -0.67000      2.46802      1.59900      0.86902
     -0.66000      2.64491      1.72519      0.91972
     -0.65000      2.81534      1.85422      0.96112
     -0.64000      2.62033      1.71710      0.90323
     -0.63000      2.33187      1.50730      0.82457
     -0.62000      2.76423      1.77869      0.98555
     -0.61000      3.42369      2.19516      1.22853
     -0.60000      2.78877      1.78868      1.00009
     -0.59000      1.60301      1.04661      0.55640
     -0.58000      1.34913      0.87454      0.47459
     -0.57000      1.98860      1.28276      0.70584
     -0.56000      2.73507      1.81198      0.92309
     -0.55000      3.06251      2.05001      1.01250
     -0.54000      2.88058      1.88692      0.99366
     -0.53000      2.40521      1.54340      0.86180
     -0.52000      2.14958      1.37351      0.77607
     -0.51000      2.30912      1.49750      0.81162
     -0.50000      2.39465      1.58065      0.81399
     -0.49000      2.05570      1.34853      0.70717
     -0.48000      1.62897      1.06162      0.56735
     -0.47000      1.66734      1.08465      0.58269
     -0.46000      2.02769      1.30930      0.71839
     -0.45000      2.38040      1.57810      0.80229
     -0.44000      2.91241      1.99617      0.91624
     -0.43000      3.15632      2.16817      0.98815
     -0.42000      2.80673      1.89249      0.91424
     -0.41000      1.95844      1.29156      0.66688
     -0.40000      1.40473      0.91401      0.49072
     -0.39000      1.68931      1.12974      0.55956
     -0.38000      2.30026      1.58494      0.71533
     -0.37000      2.13262      1.47116      0.66147
     -0.36000      1.45547      0.98087      0.47460
     -0.35000      1.50940      1.00437      0.50502
     -0.34000      2.25212      1.52107      0.73104
     -0.33000      2.75903      1.93262      0.82641
     -0.32000      2.70794      1.97407      0.73387
     -0.31000      2.16353      1.56960      0.59393
     -0.30000      1.57530      1.09451      0.48080
     -0.29000      1.38388      0.94373      0.44015
     -0.28000      1.44109      0.99469      0.44640
     -0.27000      1.72133      1.20175      0.51959
     -0.26000      1.97738      1.39233      0.58505
     -0.25000      1.70967      1.20940      0.50027
     -0.24000      1.43965      1.01268      0.42696
     -0.23000      1.61309      1.12831      0.48478
     -0.22000      1.75128      1.22101      0.53027
     -0.21000      1.86399      1.30850      0.55549
     -0.20000      2.02827      1.45123      0.57704
     -0.19000      2.03831      1.45241      0.58590
     -0.18000      1.82688      1.26135      0.56553
     -0.17000      1.65248      1.11436      0.53812
     -0.16000      1.57112      1.06355      0.50757
     -0.15000      1.28180      0.89831      0.38348
     -0.14000      0.91483      0.68418      0.23065
     -0.13000      0.59855      0.46692      0.13163
     -0.12000      0.41425      0.32763      0.08662
     -0.11000      0.51991      0.41331      0.10659
     -0.10000      0.79988      0.63789      0.16199
     -0.09000      0.90744      0.72501      0.18244
     -0.08000      0.52238      0.41798      0.10439
     -0.07000      0.24842      0.19932      0.04909
     -0.06000      0.38537      0.30991      0.07545
     -0.05000      0.49846      0.40135      0.09712
     -0.04000      0.47488      0.38302      0.09186
     -0.03000      0.52055      0.42059      0.09996
     -0.02000      0.48038      0.38868      0.09169
     -0.01000      0.30561      0.24758      0.05803
      0.00000      0.13918      0.11286      0.02631
      0.01000      0.03742      0.03036      0.00706
      0.02000      0.00383      0.00311      0.00072
      0.03000      0.00007      0.00006      0.00001
      0.04000     -0.00000     -0.00000     -0.00000
      0.05000      0.00000      0.00000      0.00000
      0.06000      0.00000      0.00000      0.00000
      0.07000      0.00000      0.00000      0.00000
      0.08000      0.00000      0.00000      0.00000
      0.09000      0.00000      0.00000      0.00000
      0.10000      0.00000      0.00000      0.00000
      0.11000      0.00000      0.00000      0.00000
      0.12000      0.00000      0.00000      0.00000
      0.13000      0.00000      0.00000      0.00000
      0.14000      0.00000      0.00000      0.00000
      0.15000      0.00000      0.00000      0.00000
      0.16000      0.00000      0.00000      0.00000
      0.17000      0.00000      0.00000      0.00000
      0.18000      0.00000      0.00000      0.00000
      0.19000      0.00000      0.00000      0.00000
      0.20000      0.00000      0.00000      0.00000
      0.21000      0.00000      0.00000      0.00000
      0.22000      0.00000      0.00000      0.00000
      0.23000      0.00000      0.00000      0.00000
      0.24000      0.00000      0.00000      0.00000
      0.25000      0.00000      0.00000      0.00000
      0.26000      0.00000      0.00000      0.00000
      0.27000      0.00000      0.00000      0.00000
      0.28000      0.00000      0.00000      0.00000
      0.29000      0.00000      0.00000      0.00000
      0.30000      0.00000      0.00000      0.00000
      0.31000      0.00000      0.00000      0.00000
      0.32000      0.00000      0.00000      0.00000
      0.33000      0.00000      0.00000      0.00000
      0.34000      0.00000      0.00000      0.00000
      0.35000      0.00000      0.00000      0.00000
      0.36000      0.00000      0.00000      0.00000
      0.37000      0.00000      0.00000      0.00000
      0.38000      0.00000      0.00000      0.00000
      0.39000      0.00000      0.00000      0.00000
      0.40000      0.00000      0.00000      0.00000
      0.41000      0.00000      0.00000      0.00000
      0.42000      0.00000      0.00000      0.00000
