# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      39     0.48935     0.30909     0.00000   -0.547813362   -1.592615411   -1.044802049
     1      39     0.49512     0.29914     0.00000   -0.539389100   -1.567383962   -1.027994862
     1      39     0.50089     0.28919     0.00000   -0.535495112   -1.563631703   -1.028136591
     1      39     0.49067     0.28329     0.00000   -0.534244758   -1.559765094   -1.025520336
     1      39     0.48045     0.27739     0.00000   -0.530495034   -1.557188682   -1.026693648
     1      39     0.47022     0.27148     0.00000   -0.524249673   -1.553233423   -1.028983750
     1      39     0.46000     0.26558     0.00000   -0.515514990   -1.546759012   -1.031244022
     1      39     0.44978     0.25968     0.00000   -0.504299912   -1.537397914   -1.033098001
     1      39     0.43956     0.25378     0.00000   -0.490615661   -1.527582589   -1.036966928
     1      39     0.42933     0.24788     0.00000   -0.474475969   -1.515788708   -1.041312738
     1      39     0.41911     0.24197     0.00000   -0.455897439   -1.497695846   -1.041798407
     1      39     0.40889     0.23607     0.00000   -0.434899664   -1.473826729   -1.038927065
     1      39     0.39867     0.23017     0.00000   -0.411505558   -1.452626213   -1.041120655
     1      39     0.38845     0.22427     0.00000   -0.385742116   -1.428793133   -1.043051016
     1      39     0.37822     0.21837     0.00000   -0.357640399   -1.398434557   -1.040794158
     1      39     0.36800     0.21247     0.00000   -0.327237633   -1.367188603   -1.039950970
     1      39     0.35778     0.20656     0.00000   -0.294577140   -1.334840459   -1.040263320
     1      39     0.34756     0.20066     0.00000   -0.259709562   -1.300123997   -1.040414434
     1      39     0.33733     0.19476     0.00000   -0.222695165   -1.262453328   -1.039758162
     1      39     0.32711     0.18886     0.00000   -0.183603268   -1.221299337   -1.037696069
     1      39     0.31689     0.18296     0.00000   -0.142514474   -1.176716304   -1.034201830
     1      39     0.30667     0.17705     0.00000   -0.099522158   -1.129211636   -1.029689478
     1      39     0.29645     0.17115     0.00000   -0.054733875   -1.079434480   -1.024700605
     1      39     0.28622     0.16525     0.00000   -0.008273550   -1.028011184   -1.019737633
     1      39     0.27600     0.15935     0.00000    0.039714765   -0.975521891   -1.015236656
     1      39     0.26578     0.15345     0.00000    0.089061744   -0.922487398   -1.011549142
     1      39     0.25556     0.14755     0.00000    0.139566281   -0.869267432   -1.008833713
     1      39     0.24533     0.14164     0.00000    0.190977780   -0.815886279   -1.006864059
     1      39     0.23511     0.13574     0.00000    0.242965777   -0.761955531   -1.004921307
     1      39     0.22489     0.12984     0.00000    0.295049993   -0.706946861   -1.001996854
     1      39     0.21467     0.12394     0.00000    0.346405369   -0.650307223   -0.996712592
     1      39     0.20445     0.11804     0.00000    0.395249319   -0.590214740   -0.985464058
     1      39     0.19422     0.11213     0.00000    0.436601830   -0.520413519   -0.957015349
     1      39     0.18400     0.10623     0.00000    0.457160471   -0.439700829   -0.896861300
     1      39     0.17378     0.10033     0.00000    0.448285318   -0.404341533   -0.852626851
     1      39     0.16356     0.09443     0.00000    0.424331066   -0.414992293   -0.839323358
     1      39     0.15333     0.08853     0.00000    0.396107367   -0.439485362   -0.835592729
     1      39     0.14311     0.08263     0.00000    0.367513021   -0.467162378   -0.834675399
     1      39     0.13289     0.07672     0.00000    0.340290796   -0.494810918   -0.835101713
     1      39     0.12267     0.07082     0.00000    0.315610559   -0.520100985   -0.835711544
     1      39     0.11244     0.06492     0.00000    0.294596326   -0.543472117   -0.838068443
     1      39     0.10222     0.05902     0.00000    0.278598735   -0.564012235   -0.842610969
     1      39     0.09200     0.05312     0.00000    0.269344398   -0.581165085   -0.850509483
     1      39     0.08178     0.04721     0.00000    0.268746834   -0.591964170   -0.860711004
     1      39     0.07156     0.04131     0.00000    0.277934478   -0.587815778   -0.865750256
     1      39     0.06133     0.03541     0.00000    0.295840834   -0.589255326   -0.885096160
     1      39     0.05111     0.02951     0.00000    0.319135369   -0.589387412   -0.908522782
     1      39     0.04089     0.02361     0.00000    0.343789640   -0.578867397   -0.922657037
     1      39     0.03067     0.01771     0.00000    0.366354310   -0.590428584   -0.956782893
     1      39     0.02044     0.01180     0.00000    0.384257999   -0.669696405   -1.053954404
     1      39     0.01022     0.00590     0.00000    0.395716148   -0.686110080   -1.081826228
     1      39     0.00000     0.00000     0.00000    0.399656140   -0.683407375   -1.083063515
     1      40     0.00000     0.00000     0.00000    0.399656140   -0.683407375   -1.083063515
     1      40     0.00681     0.01179     0.00000    0.394531193   -0.687250678   -1.081781871
     1      40     0.01362     0.02358     0.00000    0.380224797   -0.697274490   -1.077499287
     1      40     0.02042     0.03538     0.00000    0.359319648   -0.705367153   -1.064686800
     1      40     0.02723     0.04717     0.00000    0.335706566   -0.702158788   -1.037865354
