# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      39     0.48935     0.30909     0.00000   -0.547813362   -2.401868400   -1.854055038
     1      39     0.49512     0.29914     0.00000   -0.539389100   -2.368897360   -1.829508260
     1      39     0.50089     0.28919     0.00000   -0.535495112   -2.355955760   -1.820460648
     1      39     0.49067     0.28329     0.00000   -0.534244758   -2.351547141   -1.817302383
     1      39     0.48045     0.27739     0.00000   -0.530495034   -2.349159231   -1.818664197
     1      39     0.47022     0.27148     0.00000   -0.524249673   -2.345939082   -1.821689409
     1      39     0.46000     0.26558     0.00000   -0.515514990   -2.340217571   -1.824702581
     1      39     0.44978     0.25968     0.00000   -0.504299912   -2.331448028   -1.827148115
     1      39     0.43956     0.25378     0.00000   -0.490615661   -2.323021951   -1.832406290
     1      39     0.42933     0.24788     0.00000   -0.474475969   -2.312815356   -1.838339386
     1      39     0.41911     0.24197     0.00000   -0.455897439   -2.295203498   -1.839306060
     1      39     0.40889     0.23607     0.00000   -0.434899664   -2.271455965   -1.836556300
     1      39     0.39867     0.23017     0.00000   -0.411505558   -2.250025946   -1.838520388
     1      39     0.38845     0.22427     0.00000   -0.385742116   -2.225996902   -1.840254785
     1      39     0.37822     0.21837     0.00000   -0.357640399   -2.196037367   -1.838396967
     1      39     0.36800     0.21247     0.00000   -0.327237633   -2.164908937   -1.837671304
     1      39     0.35778     0.20656     0.00000   -0.294577140   -2.132439165   -1.837862026
     1      39     0.34756     0.20066     0.00000   -0.259709562   -2.097129595   -1.837420032
     1      39     0.33733     0.19476     0.00000   -0.222695165   -2.056589872   -1.833894707
     1      39     0.32711     0.18886     0.00000   -0.183603268   -2.008762159   -1.825158891
     1      39     0.31689     0.18296     0.00000   -0.142514474   -1.953883513   -1.811369039
     1      39     0.30667     0.17705     0.00000   -0.099522158   -1.893850056   -1.794327898
     1      39     0.29645     0.17115     0.00000   -0.054733875   -1.830953588   -1.776219714
     1      39     0.28622     0.16525     0.00000   -0.008273550   -1.767240895   -1.758967344
     1      39     0.27600     0.15935     0.00000    0.039714765   -1.704427483   -1.744142248
     1      39     0.26578     0.15345     0.00000    0.089061744   -1.643870677   -1.732932421
     1      39     0.25556     0.14755     0.00000    0.139566281   -1.586282812   -1.725849093
     1      39     0.24533     0.14164     0.00000    0.190977780   -1.531276311   -1.722254091
     1      39     0.23511     0.13574     0.00000    0.242965777   -1.477340101   -1.720305877
     1      39     0.22489     0.12984     0.00000    0.295049993   -1.422987194   -1.718037187
     1      39     0.21467     0.12394     0.00000    0.346405369   -1.367689620   -1.714094989
     1      39     0.20445     0.11804     0.00000    0.395249319   -1.310415321   -1.705664639
     1      39     0.19422     0.11213     0.00000    0.436601830   -1.248535344   -1.685137173
