# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      19     0.50979     0.32200     0.00000   -3.491850221   -4.989176514   -1.497326293
     1      19     0.51580     0.31164     0.00000   -3.487864353   -4.971955892   -1.484091539
     1      19     0.52181     0.30127     0.00000   -3.485554793   -4.972689201   -1.487134408
     1      19     0.51116     0.29512     0.00000   -3.484289730   -4.957643894   -1.473354164
     1      19     0.50051     0.28897     0.00000   -3.480496056   -4.956020708   -1.475524652
     1      19     0.48986     0.28282     0.00000   -3.474178716   -4.953380942   -1.479202226
     1      19     0.47921     0.27667     0.00000   -3.465345290   -4.948072338   -1.482727048
     1      19     0.46856     0.27053     0.00000   -3.454006790   -4.939580001   -1.485573212
     1      19     0.45792     0.26438     0.00000   -3.440176423   -4.932055586   -1.491879163
     1      19     0.44727     0.25823     0.00000   -3.423869373   -4.922911018   -1.499041646
     1      19     0.43662     0.25208     0.00000   -3.405103047   -4.905080828   -1.499977781
     1      19     0.42597     0.24593     0.00000   -3.383896305   -4.879858483   -1.495962178
     1      19     0.41532     0.23978     0.00000   -3.360270142   -4.858843384   -1.498573241
     1      19     0.40467     0.23364     0.00000   -3.334246866   -4.835074045   -1.500827179
     1      19     0.39402     0.22749     0.00000   -3.305852023   -4.803704779   -1.497852756
     1      19     0.38337     0.22134     0.00000   -3.275115024   -4.771579142   -1.496464119
     1      19     0.37272     0.21519     0.00000   -3.242070800   -4.738424530   -1.496353729
     1      19     0.36207     0.20904     0.00000   -3.206761403   -4.702339230   -1.495577827
     1      19     0.35142     0.20289     0.00000   -3.169237872   -4.661052223   -1.491814351
     1      19     0.34077     0.19675     0.00000   -3.129561746   -4.612653755   -1.483092009
     1      19     0.33012     0.19060     0.00000   -3.087806687   -4.557445580   -1.469638893
     1      19     0.31948     0.18445     0.00000   -3.044059027   -4.497289903   -1.453230876
     1      19     0.30883     0.17830     0.00000   -2.998420378   -4.434404058   -1.435983680
     1      19     0.29818     0.17215     0.00000   -2.951007953   -4.370732548   -1.419724595
     1      19     0.28753     0.16600     0.00000   -2.901957856   -4.307877151   -1.405919295
     1      19     0.27688     0.15986     0.00000   -2.851428467   -4.247068335   -1.395639868
     1      19     0.26623     0.15371     0.00000   -2.799609999   -4.188913058   -1.389303059
     1      19     0.25558     0.14756     0.00000   -2.746741043   -4.132992689   -1.386251645
     1      19     0.24493     0.14141     0.00000   -2.693145186   -4.077884783   -1.384739598
     1      19     0.23428     0.13526     0.00000   -2.639318982   -4.022244817   -1.382925835
     1      19     0.22363     0.12911     0.00000   -2.586185732   -3.965614625   -1.379428893
     1      19     0.21298     0.12297     0.00000   -2.535964686   -3.906839840   -1.370875154
     1      19     0.20233     0.11682     0.00000   -2.495656895   -3.841225904   -1.345569008
     1      19     0.19169     0.11067     0.00000   -2.483959606   -3.775164441   -1.291204835
     1      19     0.18104     0.10452     0.00000   -2.505820983   -3.765703626   -1.259882643
     1      19     0.17039     0.09837     0.00000   -2.540681209   -3.792343019   -1.251661810
     1      19     0.15974     0.09222     0.00000   -2.578239689   -3.827623605   -1.249383916
     1      19     0.14909     0.08608     0.00000   -2.615207004   -3.863974627   -1.248767623
     1      19     0.13844     0.07993     0.00000   -2.650015436   -3.898936042   -1.248920606
     1      19     0.12779     0.07378     0.00000   -2.681109795   -3.931183239   -1.250073445
     1      19     0.11714     0.06763     0.00000   -2.704646052   -3.959299932   -1.254653880
     1      19     0.10649     0.06148     0.00000   -2.702745376   -3.980517671   -1.277772295
     1      19     0.09584     0.05533     0.00000   -2.653470401   -3.975093332   -1.321622930
     1      19     0.08519     0.04919     0.00000   -2.587665170   -3.931480130   -1.343814960
     1      19     0.07454     0.04304     0.00000   -2.520357722   -3.892236231   -1.371878509
     1      19     0.06390     0.03689     0.00000   -2.454865910   -3.857445581   -1.402579671
     1      19     0.05325     0.03074     0.00000   -2.392794398   -3.825372097   -1.432577699
     1      19     0.04260     0.02459     0.00000   -2.335700059   -3.790008504   -1.454308445
     1      19     0.03195     0.01844     0.00000   -2.285622228   -3.778842741   -1.493220513
     1      19     0.02130     0.01230     0.00000   -2.245413615   -3.846839498   -1.601425883
     1      19     0.01065     0.00615     0.00000   -2.218770440   -3.865255791   -1.646485352
     1      19     0.00000     0.00000     0.00000   -2.209347053   -3.863838264   -1.654491211
     1      20     0.00000     0.00000     0.00000   -2.209347053   -3.863838264   -1.654491211
     1      20     0.00709     0.01228     0.00000   -2.221759579   -3.866226008   -1.644466429
     1      20     0.01418     0.02457     0.00000   -2.256045995   -3.876249792   -1.620203797
     1      20     0.02128     0.03685     0.00000   -2.306247909   -3.893216255   -1.586968346
     1      20     0.02837     0.04914     0.00000   -2.366938322   -3.911603564   -1.544665242
     1      20     0.03546     0.06142     0.00000   -2.434116290   -3.926191245   -1.492074955
     1      20     0.04255     0.07371     0.00000   -2.504613626   -3.934753631   -1.430140005
     1      20     0.04965     0.08599     0.00000   -2.574719281   -3.939651278   -1.364931997
     1      20     0.05674     0.09827     0.00000   -2.635845949   -3.943956789   -1.308110840
     1      20     0.06383     0.11056     0.00000   -2.664189327   -3.934503406   -1.270314079
     1      20     0.07092     0.12284     0.00000   -2.650656262   -3.902290594   -1.251634332
     1      20     0.07802     0.13513     0.00000   -2.618560290   -3.866123669   -1.247563380
     1      20     0.08511     0.14741     0.00000   -2.579382520   -3.826753513   -1.247370994
     1      20     0.09220     0.15970     0.00000   -2.538380414   -3.786326792   -1.247946378
     1      20     0.09929     0.17198     0.00000   -2.524893857   -3.811838850   -1.286944993
     1      20     0.10639     0.18426     0.00000   -2.602600847   -3.896220841   -1.293619994
     1      20     0.11348     0.19655     0.00000   -2.676878728   -4.038744765   -1.361866037
     1      20     0.12057     0.20883     0.00000   -2.780710290   -4.165138887   -1.384428597
     1      20     0.12766     0.22112     0.00000   -2.888968529   -4.291001748   -1.402033219
     1      20     0.13475     0.23340     0.00000   -2.997225191   -4.415802180   -1.418576989
     1      20     0.14185     0.24569     0.00000   -3.102835568   -4.536898814   -1.434063246
     1      20     0.14894     0.25797     0.00000   -3.203318732   -4.650499870   -1.447181137
     1      20     0.15603     0.27026     0.00000   -3.296269701   -4.751780957   -1.455511255
     1      20     0.16312     0.28254     0.00000   -3.379658332   -4.837707171   -1.458048839
     1      20     0.17022     0.29482     0.00000   -3.452222465   -4.910385813   -1.458163348
     1      20     0.17731     0.30711     0.00000   -3.513664829   -4.971828740   -1.458163911
     1      20     0.18440     0.31939     0.00000   -3.564499014   -5.022715145   -1.458216131
     1      20     0.19149     0.33168     0.00000   -3.605690761   -5.065774716   -1.460083955
     1      20     0.19859     0.34396     0.00000   -3.638340041   -5.105006671   -1.466666631
     1      20     0.20568     0.35625     0.00000   -3.663514627   -5.140781238   -1.477266611
     1      20     0.21277     0.36853     0.00000   -3.682217518   -5.172003451   -1.489785933
     1      20     0.21986     0.38081     0.00000   -3.695430809   -5.198289555   -1.502858747
     1      20     0.22696     0.39310     0.00000   -3.697728517   -5.248928772   -1.551200255
     1      20     0.23405     0.40538     0.00000   -3.691247626   -5.260497037   -1.569249410
     1      20     0.24114     0.41767     0.00000   -3.680425531   -5.262484519   -1.582058988
     1      20     0.24823     0.42995     0.00000   -3.665815881   -5.253147844   -1.587331963
