Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -3.91870      2.41389      0.88120      1.53269
     -3.90870      1.53528      0.56610      0.96918
     -3.89870      1.51280      0.56356      0.94924
     -3.88870      1.71537      0.63392      1.08145
     -3.87870      1.57161      0.56368      1.00792
     -3.86870      1.59335      0.55535      1.03801
     -3.85870      1.90342      0.68106      1.22236
     -3.84870      1.75390      0.65861      1.09529
     -3.83870      1.18590      0.45311      0.73279
     -3.82870      0.84858      0.32416      0.52442
     -3.81870      0.71774      0.27686      0.44088
     -3.80870      0.51423      0.19636      0.31787
     -3.79870      0.54645      0.21188      0.33457
     -3.78870      0.68655      0.27079      0.41576
     -3.77870      0.61316      0.24533      0.36783
     -3.76870      0.93237      0.37961      0.55277
     -3.75870      1.70493      0.67088      1.03405
     -3.74870      2.14668      0.80783      1.33885
     -3.73870      1.97882      0.71739      1.26143
     -3.72870      1.75032      0.63181      1.11851
     -3.71870      1.80268      0.68446      1.11822
     -3.70870      1.72738      0.65553      1.07184
     -3.69870      1.31905      0.47337      0.84568
     -3.68870      0.95866      0.35219      0.60647
     -3.67870      0.86688      0.35059      0.51629
     -3.66870      0.89219      0.36418      0.52801
     -3.65870      0.84393      0.31320      0.53074
     -3.64870      0.88892      0.28037      0.60856
     -3.63870      1.02239      0.30862      0.71377
     -3.62870      1.27127      0.42341      0.84786
     -3.61870      1.80458      0.68083      1.12375
     -3.60870      2.11461      0.83192      1.28269
     -3.59870      1.72937      0.66869      1.06068
     -3.58870      0.97296      0.36914      0.60382
     -3.57870      0.57254      0.23043      0.34211
     -3.56870      0.68799      0.28716      0.40083
     -3.55870      0.94653      0.34860      0.59793
     -3.54870      1.08218      0.34737      0.73481
     -3.53870      0.83413      0.26063      0.57350
     -3.52870      0.65388      0.24319      0.41069
     -3.51870      0.99902      0.39790      0.60112
     -3.50870      1.41867      0.54173      0.87693
     -3.49870      2.28489      0.84291      1.44198
     -3.48870      3.54345      1.28747      2.25599
     -3.47870      3.92168      1.43234      2.48934
     -3.46870      3.42632      1.23239      2.19393
     -3.45870      3.26484      1.11201      2.15284
     -3.44870      3.71421      1.25311      2.46110
     -3.43870      3.61805      1.20875      2.40930
     -3.42870      3.04279      0.96827      2.07453
     -3.41870      3.60998      1.10193      2.50805
     -3.40870      5.01093      1.55124      3.45969
     -3.39870      5.23864      1.67110      3.56753
     -3.38870      5.35020      1.66440      3.68579
     -3.37870      6.19125      1.75962      4.43163
     -3.36870      6.45510      1.79883      4.65627
     -3.35870      5.47039      1.63878      3.83161
     -3.34870      3.81449      1.26820      2.54629
     -3.33870      2.83874      1.02481      1.81393
     -3.32870      2.68122      0.99520      1.68602
     -3.31870      2.73563      1.04035      1.69528
     -3.30870      3.04063      1.21924      1.82139
     -3.29870      3.28656      1.38541      1.90115
     -3.28870      2.99962      1.27766      1.72196
     -3.27870      2.37853      0.99448      1.38405
     -3.26870      2.46532      0.97571      1.48960
     -3.25870      3.33001      1.29325      2.03675
     -3.24870      3.49794      1.39921      2.09873
     -3.23870      3.23397      1.34229      1.89168
     -3.22870      3.10956      1.29285      1.81671
     -3.21870      2.49971      1.01759      1.48212
     -3.20870      1.72568      0.68910      1.03657
     -3.19870      1.98104      0.83266      1.14838
     -3.18870      2.97797      1.28774      1.69023
     -3.17870      3.25517      1.40303      1.85213
     -3.16870      2.77195      1.19831      1.57364
     -3.15870      2.42575      1.07040      1.35534
     -3.14870      2.78342      1.24729      1.53612
     -3.13870      2.73984      1.24495      1.49488
     -3.12870      2.10515      0.96775      1.13740
     -3.11870      1.90189      0.85781      1.04408
     -3.10870      2.23506      1.01474      1.22032
     -3.09870      2.73851      1.22752      1.51099
     -3.08870      3.32140      1.39883      1.92256
     -3.07870      3.49193      1.41226      2.07967
     -3.06870      2.92565      1.18752      1.73813
     -3.05870      2.87895      1.23822      1.64074
     -3.04870      3.43374      1.55247      1.88127
     -3.03870      3.32695      1.54778      1.77916
     -3.02870      2.90936      1.40377      1.50559
     -3.01870      3.35838      1.66085      1.69753
     -3.00870      3.59072      1.79208      1.79864
     -2.99870      2.89007      1.42622      1.46384
     -2.98870      2.18416      1.02633      1.15783
     -2.97870      2.28710      1.03321      1.25389
     -2.96870      2.43860      1.11411      1.32449
     -2.95870      2.26491      1.05994      1.20496
     -2.94870      2.39014      1.12039      1.26975
     -2.93870      3.01899      1.39090      1.62809
     -2.92870      3.63269      1.67414      1.95856
     -2.91870      2.84525      1.29622      1.54903
     -2.90870      1.68806      0.70994      0.97811
     -2.89870      1.65084      0.71291      0.93793
     -2.88870      2.05190      0.95602      1.09587
     -2.87870      2.03239      0.97268      1.05971
     -2.86870      1.91503      0.89741      1.01762
     -2.85870      2.13516      0.95634      1.17883
     -2.84870      2.11641      0.92389      1.19253
     -2.83870      1.70329      0.72402      0.97928
     -2.82870      1.17290      0.51757      0.65533
     -2.81870      1.04038      0.48823      0.55215
     -2.80870      1.43457      0.69211      0.74246
     -2.79870      1.73274      0.86780      0.86494
     -2.78870      2.00738      0.97391      1.03348
     -2.77870      2.36095      1.09958      1.26137
     -2.76870      2.12915      0.98973      1.13942
     -2.75870      1.89667      0.88946      1.00721
     -2.74870      1.61285      0.74444      0.86841
     -2.73870      1.08612      0.46392      0.62220
     -2.72870      1.26072      0.45041      0.81031
     -2.71870      1.72620      0.57454      1.15166
     -2.70870      2.08530      0.76994      1.31535
     -2.69870      2.23073      0.93994      1.29080
     -2.68870      2.04388      0.91776      1.12613
     -2.67870      1.83399      0.80930      1.02469
     -2.66870      1.61146      0.70203      0.90943
     -2.65870      1.87881      0.82439      1.05442
     -2.64870      2.20505      0.99261      1.21244
     -2.63870      1.96220      0.91385      1.04836
     -2.62870      1.49516      0.66829      0.82686
     -2.61870      1.10168      0.43812      0.66356
     -2.60870      0.95374      0.37936      0.57439
     -2.59870      1.35823      0.63705      0.72118
     -2.58870      1.68032      0.82009      0.86023
     -2.57870      1.56854      0.71595      0.85260
     -2.56870      1.42032      0.64778      0.77254
     -2.55870      1.18796      0.56762      0.62033
     -2.54870      1.25416      0.54686      0.70730
     -2.53870      1.97551      0.80196      1.17354
     -2.52870      2.40310      0.97768      1.42542
     -2.51870      2.25208      0.93843      1.31365
     -2.50870      2.18521      0.92229      1.26292
     -2.49870      2.04060      0.82240      1.21820
     -2.48870      1.78460      0.65674      1.12786
     -2.47870      1.89274      0.66833      1.22441
     -2.46870      2.56472      0.91901      1.64571
     -2.45870      2.78252      1.02348      1.75905
     -2.44870      2.16144      0.79581      1.36563
     -2.43870      1.61388      0.62674      0.98714
     -2.42870      1.47982      0.60390      0.87592
     -2.41870      1.52084      0.57525      0.94559
     -2.40870      1.63812      0.60871      1.02941
     -2.39870      1.72146      0.65503      1.06643
     -2.38870      2.12147      0.84610      1.27537
