# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      19     0.50979     0.32200     0.00000   -3.491850221   -4.339654642   -0.847804421
     1      19     0.51580     0.31164     0.00000   -3.487864353   -4.328957200   -0.841092846
     1      19     0.52181     0.30127     0.00000   -3.485554793   -4.332575083   -0.847020290
     1      19     0.51116     0.29512     0.00000   -3.484289730   -4.319385156   -0.835095427
     1      19     0.50051     0.28897     0.00000   -3.480496056   -4.316704236   -0.836208180
     1      19     0.48986     0.28282     0.00000   -3.474178716   -4.312180896   -0.838002181
     1      19     0.47921     0.27667     0.00000   -3.465345290   -4.305054190   -0.839708900
     1      19     0.46856     0.27053     0.00000   -3.454006790   -4.295098557   -0.841091767
     1      19     0.45792     0.26438     0.00000   -3.440176423   -4.284294496   -0.844118073
     1      19     0.44727     0.25823     0.00000   -3.423869373   -4.271407962   -0.847538589
     1      19     0.43662     0.25208     0.00000   -3.405103047   -4.252901071   -0.847798024
     1      19     0.42597     0.24593     0.00000   -3.383896305   -4.229144967   -0.845248663
     1      19     0.41532     0.23978     0.00000   -3.360270142   -4.207212861   -0.846942719
     1      19     0.40467     0.23364     0.00000   -3.334246866   -4.182633304   -0.848386438
     1      19     0.39402     0.22749     0.00000   -3.305852023   -4.152081821   -0.846229798
     1      19     0.38337     0.22134     0.00000   -3.275115024   -4.120378080   -0.845263056
     1      19     0.37272     0.21519     0.00000   -3.242070800   -4.087327000   -0.845256200
     1      19     0.36207     0.20904     0.00000   -3.206761403   -4.051881414   -0.845120012
     1      19     0.35142     0.20289     0.00000   -3.169237872   -4.013716172   -0.844478300
     1      19     0.34077     0.19675     0.00000   -3.129561746   -3.972575482   -0.843013735
     1      19     0.33012     0.19060     0.00000   -3.087806687   -3.928566287   -0.840759600
     1      19     0.31948     0.18445     0.00000   -3.044059027   -3.882060749   -0.838001723
     1      19     0.30883     0.17830     0.00000   -2.998420378   -3.833503796   -0.835083418
     1      19     0.29818     0.17215     0.00000   -2.951007953   -3.783310994   -0.832303041
     1      19     0.28753     0.16600     0.00000   -2.901957856   -3.731860561   -0.829902705
     1      19     0.27688     0.15986     0.00000   -2.851428467   -3.679484116   -0.828055649
     1      19     0.26623     0.15371     0.00000   -2.799609999   -3.626422964   -0.826812965
     1      19     0.25558     0.14756     0.00000   -2.746741043   -3.572753553   -0.826012510
     1      19     0.24493     0.14141     0.00000   -2.693145186   -3.518392457   -0.825247271
     1      19     0.23428     0.13526     0.00000   -2.639318982   -3.463295038   -0.823976056
     1      19     0.22363     0.12911     0.00000   -2.586185732   -3.407583903   -0.821398171
     1      19     0.21298     0.12297     0.00000   -2.535964686   -3.351080608   -0.815115922
     1      19     0.20233     0.11682     0.00000   -2.495656895   -3.291774085   -0.796117189
     1      19     0.19169     0.11067     0.00000   -2.483959606   -3.239461060   -0.755501454
     1      19     0.18104     0.10452     0.00000   -2.505820983   -3.237978021   -0.732157038
     1      19     0.17039     0.09837     0.00000   -2.540681209   -3.266746778   -0.726065569
     1      19     0.15974     0.09222     0.00000   -2.578239689   -3.302649540   -0.724409850
     1      19     0.14909     0.08608     0.00000   -2.615207004   -3.339210332   -0.724003328
     1      19     0.13844     0.07993     0.00000   -2.650015436   -3.374206782   -0.724191346
     1      19     0.12779     0.07378     0.00000   -2.681109795   -3.406263228   -0.725153434
     1      19     0.11714     0.06763     0.00000   -2.704646052   -3.433230294   -0.728584242
     1      19     0.10649     0.06148     0.00000   -2.702745376   -3.448396699   -0.745651323
     1      19     0.09584     0.05533     0.00000   -2.653470401   -3.432452555   -0.778982154
     1      19     0.08519     0.04919     0.00000   -2.587665170   -3.384642955   -0.796977784
     1      19     0.07454     0.04304     0.00000   -2.520357722   -3.341503701   -0.821145979
     1      19     0.06390     0.03689     0.00000   -2.454865910   -3.302700960   -0.847835050
     1      19     0.05325     0.03074     0.00000   -2.392794398   -3.265902789   -0.873108392
     1      19     0.04260     0.02459     0.00000   -2.335700059   -3.225914144   -0.890214085
     1      19     0.03195     0.01844     0.00000   -2.285622228   -3.204228014   -0.918605785
     1      19     0.02130     0.01230     0.00000   -2.245413615   -3.237789020   -0.992375405
     1      19     0.01065     0.00615     0.00000   -2.218770440   -3.241633660   -1.022863220
     1      19     0.00000     0.00000     0.00000   -2.209347053   -3.237695967   -1.028348914
     1      20     0.00000     0.00000     0.00000   -2.209347053   -3.237695967   -1.028348914
     1      20     0.00709     0.01228     0.00000   -2.221759579   -3.243234202   -1.021474624
     1      20     0.01418     0.02457     0.00000   -2.256045995   -3.260961461   -1.004915466
     1      20     0.02128     0.03685     0.00000   -2.306247909   -3.288634593   -0.982386684
     1      20     0.02837     0.04914     0.00000   -2.366938322   -3.319861321   -0.952922999
     1      20     0.03546     0.06142     0.00000   -2.434116290   -3.348649619   -0.914533329
     1      20     0.04255     0.07371     0.00000   -2.504613626   -3.372208163   -0.867594537
     1      20     0.04965     0.08599     0.00000   -2.574719281   -3.391800939   -0.817081658
     1      20     0.05674     0.09827     0.00000   -2.635845949   -3.408468873   -0.772622924
     1      20     0.06383     0.11056     0.00000   -2.664189327   -3.407199910   -0.743010583
     1      20     0.07092     0.12284     0.00000   -2.650656262   -3.379097684   -0.728441422
     1      20     0.07802     0.13513     0.00000   -2.618560290   -3.343844739   -0.725284449
     1      20     0.08511     0.14741     0.00000   -2.579382520   -3.304535330   -0.725152810
     1      20     0.09220     0.15970     0.00000   -2.538380414   -3.263895444   -0.725515030
     1      20     0.09929     0.17198     0.00000   -2.524893857   -3.274846460   -0.749952603
     1      20     0.10639     0.18426     0.00000   -2.602600847   -3.354541564   -0.751940717
     1      20     0.11348     0.19655     0.00000   -2.676878728   -3.468159130   -0.791280402
     1      20     0.12057     0.20883     0.00000   -2.780710290   -3.576133555   -0.795423265
     1      20     0.12766     0.22112     0.00000   -2.888968529   -3.683834398   -0.794865869
     1      20     0.13475     0.23340     0.00000   -2.997225191   -3.790556271   -0.793331079
     1      20     0.14185     0.24569     0.00000   -3.102835568   -3.894436376   -0.791600809
     1      20     0.14894     0.25797     0.00000   -3.203318732   -3.993384012   -0.790065280
     1      20     0.15603     0.27026     0.00000   -3.296269701   -4.085355196   -0.789085494
     1      20     0.16312     0.28254     0.00000   -3.379658332   -4.168451930   -0.788793598
     1      20     0.17022     0.29482     0.00000   -3.452222465   -4.241006820   -0.788784355
     1      20     0.17731     0.30711     0.00000   -3.513664829   -4.302449765   -0.788784936
     1      20     0.18440     0.31939     0.00000   -3.564499014   -4.353345775   -0.788846761
     1      20     0.19149     0.33168     0.00000   -3.605690761   -4.396012120   -0.790321359
     1      20     0.19859     0.34396     0.00000   -3.638340041   -4.433716960   -0.795376919
     1      20     0.20568     0.35625     0.00000   -3.663514627   -4.466914691   -0.803400064
     1      20     0.21277     0.36853     0.00000   -3.682217518   -4.494925546   -0.812708028
     1      20     0.21986     0.38081     0.00000   -3.695430809   -4.517596785   -0.822165976
     1      20     0.22696     0.39310     0.00000   -3.697728517   -4.543468278   -0.845739762
     1      20     0.23405     0.40538     0.00000   -3.691247626   -4.547622841   -0.856375215
     1      20     0.24114     0.41767     0.00000   -3.680425531   -4.544167513   -0.863741982
     1      20     0.24823     0.42995     0.00000   -3.665815881   -4.532396919   -0.866581038
     1      20     0.25532     0.44224     0.00000   -3.648203890   -4.515033636   -0.866829746
     1      20     0.26242     0.45452     0.00000   -3.628952497   -4.495800807   -0.866848310
     1      20     0.26951     0.46680     0.00000   -3.611340729   -4.477770521   -0.866429793
     1      20     0.27660     0.47909     0.00000   -3.606966911   -4.470287815   -0.863320904
     1      20     0.28369     0.49137     0.00000   -3.644523871   -4.500191145   -0.855667274
     1      20     0.29079     0.50366     0.00000   -3.715607988   -4.567941697   -0.852333708
     1      20     0.29788     0.51594     0.00000   -3.791305112   -4.643999937   -0.852694825
     1      20     0.30497     0.52823     0.00000   -3.861210376   -4.716346586   -0.855136210
     1      20     0.31206     0.54051     0.00000   -3.921102228   -4.779676982   -0.858574754
     1      20     0.31916     0.55279     0.00000   -3.935740814   -4.787431704   -0.851690890
     1      20     0.32625     0.56508     0.00000   -3.939440343   -4.792969172   -0.853528829
     1      20     0.33334     0.57736     0.00000   -3.942310419   -4.797220229   -0.854909810
     1      20     0.34043     0.58965     0.00000   -3.944369025   -4.799534957   -0.855165932
     1      20     0.34753     0.60193     0.00000   -3.945259610   -4.800415262   -0.855155652
     1      20     0.35354     0.59156     0.00000   -3.944411853   -4.799572089   -0.855160236
     1      20     0.35955     0.58120     0.00000   -3.941393801   -4.796564005   -0.855170204
     1      20     0.36556     0.57083     0.00000   -3.935091854   -4.790228680   -0.855136826
     1      20     0.37156     0.56046     0.00000   -3.923926699   -4.778798057   -0.854871358
     1      20     0.37757     0.55009     0.00000   -3.885703006   -4.752517018   -0.866814011
     1      20     0.38358     0.53973     0.00000   -3.803862603   -4.669179164   -0.865316561
     1      20     0.38959     0.52936     0.00000   -3.709451585   -4.573284794   -0.863833209
     1      20     0.39560     0.51899     0.00000   -3.606577921   -4.471699202   -0.865121280
     1      20     0.40161     0.50862     0.00000   -3.507732213   -4.395459704   -0.887727490
     1      20     0.40762     0.49825     0.00000   -3.472885732   -4.385035471   -0.912149739
     1      20     0.41363     0.48789     0.00000   -3.479026482   -4.386288586   -0.907262103
     1      20     0.41964     0.47752     0.00000   -3.489109744   -4.389372092   -0.900262349
     1      20     0.42565     0.46715     0.00000   -3.498752329   -4.392493554   -0.893741225
     1      20     0.43166     0.45678     0.00000   -3.506979366   -4.395792701   -0.888813335
     1      20     0.43767     0.44642     0.00000   -3.513417748   -4.399498662   -0.886080913
     1      20     0.44368     0.43605     0.00000   -3.517906828   -4.403010525   -0.885103697
     1      20     0.44969     0.42568     0.00000   -3.520409093   -4.405091613   -0.884682521
     1      20     0.45570     0.41531     0.00000   -3.520984489   -4.405198087   -0.884213598
     1      20     0.46171     0.40494     0.00000   -3.519781601   -4.405996911   -0.886215309
     1      20     0.46772     0.39458     0.00000   -3.517032000   -4.402953060   -0.885921060
     1      20     0.47373     0.38421     0.00000   -3.513043221   -4.393774747   -0.880731527
     1      20     0.47974     0.37384     0.00000   -3.508188641   -4.386418546   -0.878229905
     1      20     0.48575     0.36347     0.00000   -3.502891196   -4.378333708   -0.875442512
     1      20     0.49176     0.35311     0.00000   -3.497602425   -4.369263885   -0.871661460
     1      20     0.49777     0.34274     0.00000   -3.492775476   -4.359093335   -0.866317859
     1      20     0.50378     0.33237     0.00000   -3.488835699   -4.347900027   -0.859064328
     1      20     0.50979     0.32200     0.00000   -3.486150314   -4.336530462   -0.850380148
     1      20     0.51580     0.31164     0.00000   -3.484999531   -4.326758020   -0.841758489
     1      20     0.52181     0.30127     0.00000   -3.485554793   -4.338059636   -0.852504842
     1      20     0.51116     0.29512     0.00000   -3.484289729   -4.319520330   -0.835230601
     1      20     0.50051     0.28897     0.00000   -3.480496054   -4.316795198   -0.836299144
     1      20     0.48986     0.28282     0.00000   -3.474178713   -4.312170773   -0.837992060
     1      20     0.47921     0.27667     0.00000   -3.465345287   -4.304947715   -0.839602428
     1      20     0.46856     0.27053     0.00000   -3.454006786   -4.294915384   -0.840908598
     1      20     0.45792     0.26438     0.00000   -3.440176418   -4.283933772   -0.843757354
     1      20     0.44727     0.25823     0.00000   -3.423869367   -4.270856018   -0.846986651
     1      20     0.43662     0.25208     0.00000   -3.405103041   -4.252319972   -0.847216932
     1      20     0.42597     0.24593     0.00000   -3.383896297   -4.228652587   -0.844756290
     1      20     0.41532     0.23978     0.00000   -3.360270134   -4.206671095   -0.846400962
     1      20     0.40467     0.23364     0.00000   -3.334246856   -4.182048879   -0.847802023
     1      20     0.39402     0.22749     0.00000   -3.305852013   -4.151531287   -0.845679274
     1      20     0.38337     0.22134     0.00000   -3.275115012   -4.119840528   -0.844725516
     1      20     0.37272     0.21519     0.00000   -3.242070788   -4.086791488   -0.844720701
     1      20     0.36207     0.20904     0.00000   -3.206761389   -4.051367999   -0.844606610
     1      20     0.35142     0.20289     0.00000   -3.169237857   -4.013314812   -0.844076956
     1      20     0.34077     0.19675     0.00000   -3.129561730   -3.972408835   -0.842847105
